band,label,count,mean,median,std,p16,p84
g,galaxy,13228,0.20038449150049176,2.7337390958987094e-05,0.30116783669312164,1.2230085840858289e-85,0.6716676426646774
g,star,341,0.6795253321447302,0.7584380214867381,0.3332681164578031,0.19556813239387583,0.9869917179009222
i,galaxy,13450,0.15481071560296758,2.1204414419973347e-106,0.31688133424757914,0.0,0.6631469367796766
i,star,347,0.7055515062168249,0.9366514333176099,0.40218147987892866,2.6733795022066647e-06,0.998947441586113
r,galaxy,13376,0.12829590191263845,1.0903576838337275e-28,0.25978963683513767,0.0,0.4337669523025255
r,star,346,0.6806021435729238,0.8653757102248731,0.3705384401849941,0.06347383909985069,0.9950231360370996
u,galaxy,9540,0.061942132338056434,5.33984737188596e-16,0.12152555759908801,0.0,0.18539507596412172
u,star,256,0.4072899409837865,0.32703998745828566,0.3832971587284578,4.368204308177604e-13,0.9771415594786655
y,galaxy,10815,0.045295654464674276,1.6662202815903257e-18,0.1000005693647872,0.0,0.11389626264476613
y,star,345,0.5822195675415563,0.8415418617909456,0.42230879585591047,0.029888521742349423,0.9976440526669297
z,galaxy,13123,0.09891059321386494,2.8672354584197318e-27,0.20500628330907422,0.0,0.2853199111961189
z,star,347,0.6995781327318648,0.946261463633514,0.3870969311294655,0.01681381108423082,0.999542392074579
